NOM,GEN,Gradation (yes/no),Type (quantitative/qualitative),Affected consonant (k/t/p),Direction (direct/inverse)
k o m p e t e n s s i,k o m p e t e n s s i n,no,_,_,_
k ä ä n n ö s,k ä ä n n ö k s e n,no,_,_,_
h a r a v o i n t i,h a r a v o i n n i n,yes,qualitative,t,direct
p a l l o,p a l l o n,no,_,_,_
v e r o t t a j a,v e r o t t a j a n,no,_,_,_
e r i p u r a i s u u s,e r i p u r a i s u u d e n,no,_,_,_
h a n k k i m i n e n,h a n k k i m i s e n,no,_,_,_
s o p i m u s,s o p i m u k s e n,no,_,_,_
h u n a j a,h u n a j a n,no,_,_,_
a s e n n o i t u m i n e n,a s e n n o i t u m i s e n,no,_,_,_
r u u h i,r u u h e n,no,_,_,_
l a a k s o,l a a k s o n,no,_,_,_
o m i s t u s,o m i s t u k s e n,no,_,_,_
p a n e m i n e n,p a n e m i s e n,no,_,_,_
p o k e r i,p o k e r i n,no,_,_,_
a i n e i s t o,a i n e i s t o n,no,_,_,_
e l i n i ä n o d o t e,e l i n i ä n o d o t t e e n,yes,quantitative,t,inverse
k a i v o,k a i v o n,no,_,_,_
h a i t t a,h a i t a n,yes,quantitative,t,direct
p a r a m e t r i,p a r a m e t r i n,no,_,_,_
m e t o d i,m e t o d i n,no,_,_,_
i n t r e s s i,i n t r e s s i n,no,_,_,_
l u o t t a m u s,l u o t t a m u k s e n,no,_,_,_
r ä h m ä,r ä h m ä n,no,_,_,_
e k o l o g i a,e k o l o g i a n,no,_,_,_
i t s e v a r m u u s,i t s e v a r m u u d e n,no,_,_,_
p u h e l u,p u h e l u n,no,_,_,_
k o n k r e e t t i s u u s,k o n k r e e t t i s u u d e n,no,_,_,_
k a t t o,k a t o n,yes,quantitative,t,direct
k e p p o n e n,k e p p o s e n,no,_,_,_
l u o p u m i n e n,l u o p u m i s e n,no,_,_,_
t a k t i i k k a,t a k t i i k a n,yes,quantitative,k,direct
p r o v o s o i n t i,p r o v o s o i n n i n,yes,qualitative,t,direct
p a l j a s t u s,p a l j a s t u k s e n,no,_,_,_
k o m p o n e n t t i,k o m p o n e n t i n,yes,quantitative,t,direct
t i l i,t i l i n,no,_,_,_
v a r v a s,v a r p a a n,yes,qualitative,p,inverse
i t a l i a l a i n e n,i t a l i a l a i s e n,no,_,_,_
m u o d o l l i s u u s,m u o d o l l i s u u d e n,no,_,_,_
e l i m i s t ö,e l i m i s t ö n,no,_,_,_
e n g l a n t i,e n g l a n n i n,yes,qualitative,t,direct
e n s i m m ä i n e n,e n s i m m ä i s e n,no,_,_,_
m i n e r a a l i,m i n e r a a l i n,no,_,_,_
v o i m a s s a o l o,v o i m a s s a o l o n,no,_,_,_
p a r r a s,p a r t a a n,yes,qualitative,t,inverse
i l l u u s i o,i l l u u s i o n,no,_,_,_
k a h d e k s i k k o,k a h d e k s i k o n,yes,quantitative,k,direct
s u u n t a u s,s u u n t a u k s e n,no,_,_,_
v a u r a u s,v a u r a u d e n,no,_,_,_
l a m m a s,l a m p a a n,yes,qualitative,p,inverse
j o g u r t t i,j o g u r t i n,yes,quantitative,t,direct
h e i t t o,h e i t o n,yes,quantitative,t,direct
k u t s u,k u t s u n,no,_,_,_
k a l u s t o,k a l u s t o n,no,_,_,_
o h j a u s,o h j a u k s e n,no,_,_,_
l ä h e n t ä m i n e n,l ä h e n t ä m i s e n,no,_,_,_
c o c k t a i l,c o c k t a i l i n,no,_,_,_
k ä y t t ä y t y m i n e n,k ä y t t ä y t y m i s e n,no,_,_,_
v i l j a,v i l j a n,no,_,_,_
t y k k i,t y k i n,yes,quantitative,k,direct
r ä m p y t y s,r ä m p y t y k s e n,no,_,_,_
m a t k u s t a m i n e n,m a t k u s t a m i s e n,no,_,_,_
a s e n t o,a s e n n o n,yes,qualitative,t,direct
r u n o u s,r u n o u d e n,no,_,_,_
v a l i t s e m i n e n,v a l i t s e m i s e n,no,_,_,_
l a a t t a,l a a t a n,yes,quantitative,t,direct
v i h r e y s,v i h r e y d e n,no,_,_,_
e h t o o,e h t o o n,no,_,_,_
p u s k a,p u s k a n,no,_,_,_
v a s t u s,v a s t u k s e n,no,_,_,_
e p ä i l y,e p ä i l y n,no,_,_,_
s u l k a,s u l a n,yes,qualitative,k,direct
k e s k i n k e r t a i s u u s,k e s k i n k e r t a i s u u d e n,no,_,_,_
p a r v i,p a r v e n,no,_,_,_
r e a k t i o,r e a k t i o n,no,_,_,_
m u u n n e l m a,m u u n n e l m a n,no,_,_,_
a s t r o n a u t t i,a s t r o n a u t i n,yes,quantitative,t,direct
p u k e u t u m i n e n,p u k e u t u m i s e n,no,_,_,_
s o p r a a n o,s o p r a a n o n,no,_,_,_
t u o t t a j a,t u o t t a j a n,no,_,_,_
g e e l i,g e e l i n,no,_,_,_
p e s t i,p e s t i n,no,_,_,_
u l o s a j o,u l o s a j o n,no,_,_,_
s u u n t a,s u u n n a n,yes,qualitative,t,direct
t e k n i i k k a,t e k n i i k a n,yes,quantitative,k,direct
v a h i n k o,v a h i n g o n,yes,qualitative,k,direct
t e l k k a r i,t e l k k a r i n,no,_,_,_
o p e t t e l u,o p e t t e l u n,no,_,_,_
r e n g a s,r e n k a a n,yes,qualitative,k,inverse
t o i m i s t o,t o i m i s t o n,no,_,_,_
a m p u j a,a m p u j a n,no,_,_,_
r a j u u s,r a j u u d e n,no,_,_,_
t a s k u,t a s k u n,no,_,_,_
m a h a,m a h a n,no,_,_,_
l o m a k e,l o m a k k e e n,yes,quantitative,k,inverse
s i e n i,s i e n e n,no,_,_,_
l o p u t t o m u u s,l o p u t t o m u u d e n,no,_,_,_
p ö n t t ö,p ö n t ö n,yes,quantitative,t,direct
i h a s t u m i n e n,i h a s t u m i s e n,no,_,_,_
t a r u,t a r u n,no,_,_,_
r i i p p u m a t t o m u u s,r i i p p u m a t t o m u u d e n,no,_,_,_
p u n a i n e n,p u n a i s e n,no,_,_,_
s e u r a u s,s e u r a u k s e n,no,_,_,_
p a l e s t i i n a l a i n e n,p a l e s t i i n a l a i s e n,no,_,_,_
m o t o c r o s s,m o t o c r o s s i n,no,_,_,_
t u s k a,t u s k a n,no,_,_,_
a n o d i,a n o d i n,no,_,_,_
m a t i k k a,m a t i k a n,yes,quantitative,k,direct
l i u k u r i,l i u k u r i n,no,_,_,_
k a r i e s,k a r i e k s e n,no,_,_,_
v ä ä r e n t ä m i n e n,v ä ä r e n t ä m i s e n,no,_,_,_
p i t s a,p i t s a n,no,_,_,_
l ä i s k e,l ä i s k e e n,no,_,_,_
p a i n a m i n e n,p a i n a m i s e n,no,_,_,_
m a k o i l u,m a k o i l u n,no,_,_,_
a l k o m e t r i,a l k o m e t r i n,no,_,_,_
h a k k u u,h a k k u u n,no,_,_,_
r a k e n t a j a,r a k e n t a j a n,no,_,_,_
l a t v u s t o,l a t v u s t o n,no,_,_,_
a k a a s i a,a k a a s i a n,no,_,_,_
m e d a l j o n k i,m e d a l j o n g i n,yes,qualitative,k,direct
y h d y n t ä,y h d y n n ä n,yes,qualitative,t,direct
d i p l o m a t i a,d i p l o m a t i a n,no,_,_,_
i n t i i m i y s,i n t i i m i y d e n,no,_,_,_
s y ö n t i,s y ö n n i n,yes,qualitative,t,direct
l ä ä n i,l ä ä n i n,no,_,_,_
v a l v o m i n e n,v a l v o m i s e n,no,_,_,_
k u o l e m a,k u o l e m a n,no,_,_,_
n u o r u k a i n e n,n u o r u k a i s e n,no,_,_,_
v i r u s,v i r u k s e n,no,_,_,_
a r v o,a r v o n,no,_,_,_
k a p i n a,k a p i n a n,no,_,_,_
p a l k k i o,p a l k k i o n,no,_,_,_
p o n n i s t u s,p o n n i s t u k s e n,no,_,_,_
t u l i,t u l e n,no,_,_,_
e t e n e m i n e n,e t e n e m i s e n,no,_,_,_
b u d j e t t i,b u d j e t i n,yes,quantitative,t,direct
s i e m e n,s i e m e n e n,no,_,_,_
p i i m ä,p i i m ä n,no,_,_,_
p i s t a a s i,p i s t a a s i n,no,_,_,_
m u i s t u t u s,m u i s t u t u k s e n,no,_,_,_
h i o m i n e n,h i o m i s e n,no,_,_,_
t u t k i e l m a,t u t k i e l m a n,no,_,_,_
n o s t o,n o s t o n,no,_,_,_
f e s t a r i,f e s t a r i n,no,_,_,_
a a m i a i n e n,a a m i a i s e n,no,_,_,_
l o k a a l i,l o k a a l i n,no,_,_,_
m e n t o r o i n t i,m e n t o r o i n n i n,yes,qualitative,t,direct
t y ö,t y ö n,no,_,_,_
k a n i s t e r i,k a n i s t e r i n,no,_,_,_
t i e t ä m ä t t ö m y y s,t i e t ä m ä t t ö m y y d e n,no,_,_,_
r e i s i,r e i d e n,no,_,_,_
h e i n ä k u u,h e i n ä k u u n,no,_,_,_
m a n e e r i,m a n e e r i n,no,_,_,_
a r t i s t i,a r t i s t i n,no,_,_,_
v i l k a i s u,v i l k a i s u n,no,_,_,_
v i e m ä r i,v i e m ä r i n,no,_,_,_
n a u h o i t u s,n a u h o i t u k s e n,no,_,_,_
a r t i k l a,a r t i k l a n,no,_,_,_
k a n s l e r i,k a n s l e r i n,no,_,_,_
k i r j a,k i r j a n,no,_,_,_
k o m i s s a a r i,k o m i s s a a r i n,no,_,_,_
k o m m e n t o i n t i,k o m m e n t o i n n i n,yes,qualitative,t,direct
p a t e n t t i,p a t e n t i n,yes,quantitative,t,direct
m u m m i,m u m m i n,no,_,_,_
a s u,a s u n,no,_,_,_
t u n t u m a,t u n t u m a n,no,_,_,_
l ä h e t t ä m i n e n,l ä h e t t ä m i s e n,no,_,_,_
k e r m a,k e r m a n,no,_,_,_
k o k e i l u,k o k e i l u n,no,_,_,_
p r o f e s s o r i,p r o f e s s o r i n,no,_,_,_
p ä ä s e m i n e n,p ä ä s e m i s e n,no,_,_,_
t o i m i t t a m i n e n,t o i m i t t a m i s e n,no,_,_,_
t o t t u m i n e n,t o t t u m i s e n,no,_,_,_
h e n g i t y s,h e n g i t y k s e n,no,_,_,_
v e r k o s t o,v e r k o s t o n,no,_,_,_
v a s t a a n h a n g o i t t e l u,v a s t a a n h a n g o i t t e l u n,no,_,_,_
k a n s i,k a n n e n,no,_,_,_
t a l o,t a l o n,no,_,_,_
p i l t t i,p i l t i n,yes,quantitative,t,direct
b l o g i,b l o g i n,no,_,_,_
e k o n o m i s t i,e k o n o m i s t i n,no,_,_,_
n a p p u l a,n a p p u l a n,no,_,_,_
d e m o n i,d e m o n i n,no,_,_,_
v a s a l l i,v a s a l l i n,no,_,_,_
v i u l u,v i u l u n,no,_,_,_
o s t o,o s t o n,no,_,_,_
k y t k e n t ä,k y t k e n n ä n,yes,qualitative,t,direct
j u h a n n u s,j u h a n n u k s e n,no,_,_,_
k o l k k a,k o l k a n,yes,quantitative,k,direct
t i l k k u,t i l k u n,yes,quantitative,k,direct
e t s i m i n e n,e t s i m i s e n,no,_,_,_
l i i v i,l i i v i n,no,_,_,_
s i d o s,s i d o k s e n,no,_,_,_
e r o,e r o n,no,_,_,_
v i r e i l l e p a n o,v i r e i l l e p a n o n,no,_,_,_
s ä h k e,s ä h k e e n,no,_,_,_
s y n n y t y s,s y n n y t y k s e n,no,_,_,_
m e t a k k a,m e t a k a n,yes,quantitative,k,direct
e k o l o k e r o,e k o l o k e r o n,no,_,_,_
o i k e i s t o l a i s u u s,o i k e i s t o l a i s u u d e n,no,_,_,_
k a t a j a,k a t a j a n,no,_,_,_
s a d e,s a t e e n,yes,qualitative,t,inverse
s y v y y s,s y v y y d e n,no,_,_,_
l i i t t y m ä,l i i t t y m ä n,no,_,_,_
m a h t i,m a h d i n,yes,qualitative,t,direct
m u m m u,m u m m u n,no,_,_,_
p i e n e n t ä m i n e n,p i e n e n t ä m i s e n,no,_,_,_
p a p e r i,p a p e r i n,no,_,_,_
h i r v i ö,h i r v i ö n,no,_,_,_
t ö r m ä y t i n,t ö r m ä y t t i m e n,yes,quantitative,t,inverse
r a l l i,r a l l i n,no,_,_,_
i n n o s t u s,i n n o s t u k s e n,no,_,_,_
i l m a a n t u v u u s,i l m a a n t u v u u d e n,no,_,_,_
k o m e n t o,k o m e n n o n,yes,qualitative,t,direct
s o l t t u,s o l t u n,yes,quantitative,t,direct
m e t e l i,m e t e l i n,no,_,_,_
b e n e d i k t i i n i,b e n e d i k t i i n i n,no,_,_,_
r a j a l l i s u u s,r a j a l l i s u u d e n,no,_,_,_
e d u l l i s u u s,e d u l l i s u u d e n,no,_,_,_
k y n n y s,k y n n y k s e n,no,_,_,_
k ä m m e n,k ä m m e n e n,no,_,_,_
a m e r i k k a l a i n e n,a m e r i k k a l a i s e n,no,_,_,_
u s k o m i n e n,u s k o m i s e n,no,_,_,_
l a u t t u r i,l a u t t u r i n,no,_,_,_
s a m p p a n j a,s a m p p a n j a n,no,_,_,_
v ä l j y y s,v ä l j y y d e n,no,_,_,_
h e l l a,h e l l a n,no,_,_,_
k a i m a,k a i m a n,no,_,_,_
k a a k a o,k a a k a o n,no,_,_,_
s e u r a a m u s,s e u r a a m u k s e n,no,_,_,_
k u u l u s t e l u,k u u l u s t e l u n,no,_,_,_
o l i o,o l i o n,no,_,_,_
e v ä s,e v ä ä n,no,_,_,_
o h j e l m o i j a,o h j e l m o i j a n,no,_,_,_
s a a s t u m i n e n,s a a s t u m i s e n,no,_,_,_
l ä m m i t t ä m i n e n,l ä m m i t t ä m i s e n,no,_,_,_
k o m m u n i s t i,k o m m u n i s t i n,no,_,_,_
s e l l u,s e l l u n,no,_,_,_
v a p a a h e r r a t a r,v a p a a h e r r a t t a r e n,yes,quantitative,t,inverse
v i i h d e,v i i h t e e n,yes,qualitative,t,inverse
r e p a l e i s u u s,r e p a l e i s u u d e n,no,_,_,_
u n s s i,u n s s i n,no,_,_,_
d i a l o g i,d i a l o g i n,no,_,_,_
l a p i o,l a p i o n,no,_,_,_
t a u s t a,t a u s t a n,no,_,_,_
g e r m a n i s t i i k k a,g e r m a n i s t i i k a n,yes,quantitative,k,direct
h a r m o n i a,h a r m o n i a n,no,_,_,_
r a t k a i s e m i n e n,r a t k a i s e m i s e n,no,_,_,_
j ä n n i t t ä v y y s,j ä n n i t t ä v y y d e n,no,_,_,_
e r o a m i n e n,e r o a m i s e n,no,_,_,_
k a l l i s t u m i n e n,k a l l i s t u m i s e n,no,_,_,_
r i i s t a,r i i s t a n,no,_,_,_
t o i m i t t a j a,t o i m i t t a j a n,no,_,_,_
j y r k k y y s,j y r k k y y d e n,no,_,_,_
k e h o,k e h o n,no,_,_,_
p a n d a,p a n d a n,no,_,_,_
p a k k a u s,p a k k a u k s e n,no,_,_,_
a l o i t u s,a l o i t u k s e n,no,_,_,_
p a l i s k u n t a,p a l i s k u n n a n,yes,qualitative,t,direct
f i n a a l i,f i n a a l i n,no,_,_,_
k a a r r e,k a a r t e e n,yes,qualitative,t,inverse
v ä i t e,v ä i t t e e n,yes,quantitative,t,inverse
o s v i i t t a,o s v i i t a n,yes,quantitative,t,direct
t u r h a m a i s u u s,t u r h a m a i s u u d e n,no,_,_,_
u s k o n n o l l i s u u s,u s k o n n o l l i s u u d e n,no,_,_,_
l o m a u t u s,l o m a u t u k s e n,no,_,_,_
m a l l i n n u s,m a l l i n n u k s e n,no,_,_,_
h o l h o u s,h o l h o u k s e n,no,_,_,_
l e p ä ä m i n e n,l e p ä ä m i s e n,no,_,_,_
t a p a,t a v a n,yes,qualitative,p,direct
p o l i i s i,p o l i i s i n,no,_,_,_
t a i t a j a,t a i t a j a n,no,_,_,_
l u u s e r i,l u u s e r i n,no,_,_,_
m a r m o r i,m a r m o r i n,no,_,_,_
l u o t e t t a v u u s,l u o t e t t a v u u d e n,no,_,_,_
k l o o n i,k l o o n i n,no,_,_,_
l e i k k e l e,l e i k k e l e e n,no,_,_,_
k u v e r n ö ö r i,k u v e r n ö ö r i n,no,_,_,_
u u d i s t a j a,u u d i s t a j a n,no,_,_,_
l a s i,l a s i n,no,_,_,_
a i n u t l a a t u i s u u s,a i n u t l a a t u i s u u d e n,no,_,_,_
l e m p p a r i,l e m p p a r i n,no,_,_,_
ä i j ä,ä i j ä n,no,_,_,_
k a v a l l u s,k a v a l l u k s e n,no,_,_,_
h a l l i n t a,h a l l i n n a n,yes,qualitative,t,direct
p a n s s a r i,p a n s s a r i n,no,_,_,_
r u o k a i l i j a,r u o k a i l i j a n,no,_,_,_
i m i t a a t i o,i m i t a a t i o n,no,_,_,_
k u r k k u,k u r k u n,yes,quantitative,k,direct
g a a l a,g a a l a n,no,_,_,_
h y ö d y t t ö m y y s,h y ö d y t t ö m y y d e n,no,_,_,_
p ö l ä h d y s,p ö l ä h d y k s e n,no,_,_,_
k o f e i i n i,k o f e i i n i n,no,_,_,_
t u t k i m i n e n,t u t k i m i s e n,no,_,_,_
m a r s a l k k a,m a r s a l k a n,yes,quantitative,k,direct
o n n e l l i s u u s,o n n e l l i s u u d e n,no,_,_,_
k r i t e e r i,k r i t e e r i n,no,_,_,_
u l o t t u v u u s,u l o t t u v u u d e n,no,_,_,_
i n j e k t i o,i n j e k t i o n,no,_,_,_
v i i v y t t e l y,v i i v y t t e l y n,no,_,_,_
n o s t a m i n e n,n o s t a m i s e n,no,_,_,_
p r o f i i l i,p r o f i i l i n,no,_,_,_
n i e l a u s,n i e l a u k s e n,no,_,_,_
m e h i l ä i n e n,m e h i l ä i s e n,no,_,_,_
o m a k s u m i n e n,o m a k s u m i s e n,no,_,_,_
u u d i s t a m i n e n,u u d i s t a m i s e n,no,_,_,_
h e i k k o u s,h e i k k o u d e n,no,_,_,_
p a l v e l e m i n e n,p a l v e l e m i s e n,no,_,_,_
d o l l a r i,d o l l a r i n,no,_,_,_
l i k k a,l i k a n,yes,quantitative,k,direct
i s ä s t ö,i s ä s t ö n,no,_,_,_
h u i t o m i n e n,h u i t o m i s e n,no,_,_,_
l ä ä k i t y s,l ä ä k i t y k s e n,no,_,_,_
v i i n e r i,v i i n e r i n,no,_,_,_
t a i s t e l i j a,t a i s t e l i j a n,no,_,_,_
ä ä n e s t ä j ä,ä ä n e s t ä j ä n,no,_,_,_
j u o m a,j u o m a n,no,_,_,_
a i e,a i k e e n,yes,qualitative,k,inverse
s p e k t r i,s p e k t r i n,no,_,_,_
s a a g a,s a a g a n,no,_,_,_
m a s s a,m a s s a n,no,_,_,_
l i e v e,l i e p e e n,yes,qualitative,p,inverse
b u l g a r i a l a i n e n,b u l g a r i a l a i s e n,no,_,_,_
s a l e t t i,s a l e t i n,yes,quantitative,t,direct
m o o t t o r i,m o o t t o r i n,no,_,_,_
m u s e o,m u s e o n,no,_,_,_
v e r o,v e r o n,no,_,_,_
r e n e s s a n s s i,r e n e s s a n s s i n,no,_,_,_
r a n g a i s t u s,r a n g a i s t u k s e n,no,_,_,_
f a n,f a n i n,no,_,_,_
t y h j y y s,t y h j y y d e n,no,_,_,_
k a l v o,k a l v o n,no,_,_,_
p y ö r r e,p y ö r t e e n,yes,qualitative,t,inverse
n e u v o,n e u v o n,no,_,_,_
h a m p u u s i,h a m p u u s i n,no,_,_,_
h e n k i,h e n g e n,yes,qualitative,k,direct
l e n k k a r i,l e n k k a r i n,no,_,_,_
o n k i,o n g e n,yes,qualitative,k,direct
g o l f,g o l f i n,no,_,_,_
r e k i s t e r ö i t y m i n e n,r e k i s t e r ö i t y m i s e n,no,_,_,_
a n t i b i o o t t i,a n t i b i o o t i n,yes,quantitative,t,direct
k o r s e t t i,k o r s e t i n,yes,quantitative,t,direct
k o o s t u m u s,k o o s t u m u k s e n,no,_,_,_
k e l k k a,k e l k a n,yes,quantitative,k,direct
s i i p p a,s i i p a n,yes,quantitative,p,direct
p u r e m a,p u r e m a n,no,_,_,_
p i i r i t y s,p i i r i t y k s e n,no,_,_,_
s y y t e,s y y t t e e n,yes,quantitative,t,inverse
o j e n n u s,o j e n n u k s e n,no,_,_,_
v e r i,v e r e n,no,_,_,_
p e s ä,p e s ä n,no,_,_,_
s e l k e y s,s e l k e y d e n,no,_,_,_
t u l e v a i s u u s,t u l e v a i s u u d e n,no,_,_,_
d r a k m a,d r a k m a n,no,_,_,_
m i n i s t e r i ö,m i n i s t e r i ö n,no,_,_,_
n ä y t e,n ä y t t e e n,yes,quantitative,t,inverse
n o i t u u s,n o i t u u d e n,no,_,_,_
n a v e t t a,n a v e t a n,yes,quantitative,t,direct
r i k k o m u s,r i k k o m u k s e n,no,_,_,_
r a u h a,r a u h a n,no,_,_,_
k i e r t u e,k i e r t u e e n,no,_,_,_
p u u r o,p u u r o n,no,_,_,_
k o t o i s u u s,k o t o i s u u d e n,no,_,_,_
m a t k a i l u,m a t k a i l u n,no,_,_,_
m e n e t t ä m i n e n,m e n e t t ä m i s e n,no,_,_,_
k u v a a j a,k u v a a j a n,no,_,_,_
p a n o s,p a n o k s e n,no,_,_,_
m u n a,m u n a n,no,_,_,_
t o v i,t o v i n,no,_,_,_
m y ö h ä s t y m i n e n,m y ö h ä s t y m i s e n,no,_,_,_
e l ä t t ä j ä,e l ä t t ä j ä n,no,_,_,_
k a h l e,k a h l e e n,no,_,_,_
k o m e d i a,k o m e d i a n,no,_,_,_
a h d i s t u s,a h d i s t u k s e n,no,_,_,_
s u m u,s u m u n,no,_,_,_
v a r t i o i n t i,v a r t i o i n n i n,yes,qualitative,t,direct
ö l j y,ö l j y n,no,_,_,_
l u o v u t u s,l u o v u t u k s e n,no,_,_,_
p e r ä s i n,p e r ä s i m e n,no,_,_,_
k a a v i o,k a a v i o n,no,_,_,_
l i s e n s s i,l i s e n s s i n,no,_,_,_
r a i d e,r a i t e e n,yes,qualitative,t,inverse
y ö,y ö n,no,_,_,_
u l k o p u o l i s u u s,u l k o p u o l i s u u d e n,no,_,_,_
s y n k k y y s,s y n k k y y d e n,no,_,_,_
s i s i n,s i s i m m ä n,no,_,_,_
t o r p p a,t o r p a n,yes,quantitative,p,direct
t u o m a r i s t o,t u o m a r i s t o n,no,_,_,_
v i r s i,v i r r e n,no,_,_,_
k e r r o k s e l l i s u u s,k e r r o k s e l l i s u u d e n,no,_,_,_
s y m b a a l i,s y m b a a l i n,no,_,_,_
f i l o s o f i,f i l o s o f i n,no,_,_,_
k i e l i,k i e l e n,no,_,_,_
h a h m o,h a h m o n,no,_,_,_
a u t o i s t u m i n e n,a u t o i s t u m i s e n,no,_,_,_
a l e n t a m i n e n,a l e n t a m i s e n,no,_,_,_
n y r k k e i l i j ä,n y r k k e i l i j ä n,no,_,_,_
t u o j a,t u o j a n,no,_,_,_
t a r j o i l u,t a r j o i l u n,no,_,_,_
m e z z o s o p r a a n o,m e z z o s o p r a a n o n,no,_,_,_
k i i n t e i s t ö,k i i n t e i s t ö n,no,_,_,_
t u o m i t s e m i n e n,t u o m i t s e m i s e n,no,_,_,_
i s o k y r ö l ä i n e n,i s o k y r ö l ä i s e n,no,_,_,_
v o i t t o,v o i t o n,yes,quantitative,t,direct
s a n a n l a s k u,s a n a n l a s k u n,no,_,_,_
m u u t t u m i n e n,m u u t t u m i s e n,no,_,_,_
v i e n t i,v i e n n i n,yes,qualitative,t,direct
t a r r a,t a r r a n,no,_,_,_
h ä t ä,h ä d ä n,yes,qualitative,t,direct
v e l t t o i l u,v e l t t o i l u n,no,_,_,_
r a t a,r a d a n,yes,qualitative,t,direct
s a m e t t i,s a m e t i n,yes,quantitative,t,direct
k o m m e l l u s,k o m m e l l u k s e n,no,_,_,_
j u o k s e n t e l u,j u o k s e n t e l u n,no,_,_,_
f l a d a,f l a d a n,no,_,_,_
p ä ä t e l m ä,p ä ä t e l m ä n,no,_,_,_
s e n s i t i i v i s y y s,s e n s i t i i v i s y y d e n,no,_,_,_
h i l l o,h i l l o n,no,_,_,_
a l o i t e,a l o i t t e e n,yes,quantitative,t,inverse
s i v u s t o,s i v u s t o n,no,_,_,_
m y r s k y,m y r s k y n,no,_,_,_
e d u s t a j a,e d u s t a j a n,no,_,_,_
s t o o r i,s t o o r i n,no,_,_,_
p a i s t o,p a i s t o n,no,_,_,_
v a l l o i t t a j a,v a l l o i t t a j a n,no,_,_,_
r o m a n s s i,r o m a n s s i n,no,_,_,_
j u l k i l a u s u m a,j u l k i l a u s u m a n,no,_,_,_
e n e r g i a,e n e r g i a n,no,_,_,_
p ä ä s t ö,p ä ä s t ö n,no,_,_,_
l u r i t u s,l u r i t u k s e n,no,_,_,_
t o d i s t a m i n e n,t o d i s t a m i s e n,no,_,_,_
o t t a m i n e n,o t t a m i s e n,no,_,_,_
k o l u m n i,k o l u m n i n,no,_,_,_
a r k k u,a r k u n,yes,quantitative,k,direct
h e i n i k k o,h e i n i k o n,yes,quantitative,k,direct
p r e p o s i t i o,p r e p o s i t i o n,no,_,_,_
p a r a t i i s i,p a r a t i i s i n,no,_,_,_
u i m a r i,u i m a r i n,no,_,_,_
k i s a,k i s a n,no,_,_,_
t r a n s s i,t r a n s s i n,no,_,_,_
n e u v o s t o l i i t t o l a i n e n,n e u v o s t o l i i t t o l a i s e n,no,_,_,_
k y p ä r ä,k y p ä r ä n,no,_,_,_
v i h a,v i h a n,no,_,_,_
e t s i j ä,e t s i j ä n,no,_,_,_
u t u,u d u n,yes,qualitative,t,direct
k y l v ä j ä,k y l v ä j ä n,no,_,_,_
s o k k e l o,s o k k e l o n,no,_,_,_
h ö y s t e,h ö y s t e e n,no,_,_,_
m a j o i t u s,m a j o i t u k s e n,no,_,_,_
m a o r i,m a o r i n,no,_,_,_
t a i v a l t a m i n e n,t a i v a l t a m i s e n,no,_,_,_
t a n s s i,t a n s s i n,no,_,_,_
u u r r e,u u r t e e n,yes,qualitative,t,inverse
o p i n t o,o p i n n o n,yes,qualitative,t,direct
a r e e n a,a r e e n a n,no,_,_,_
k o r o k e,k o r o k k e e n,yes,quantitative,k,inverse
h ä v i ä m i n e n,h ä v i ä m i s e n,no,_,_,_
s u l k e u m a,s u l k e u m a n,no,_,_,_
r ö y h e l ö,r ö y h e l ö n,no,_,_,_
k i e k k o,k i e k o n,yes,quantitative,k,direct
v a r a s,v a r k a a n,yes,qualitative,k,inverse
p e r u n a,p e r u n a n,no,_,_,_
s ä i l y m i n e n,s ä i l y m i s e n,no,_,_,_
a i v o,a i v o n,no,_,_,_
t u n n e,t u n t e e n,yes,qualitative,t,inverse
k o m p a s s i,k o m p a s s i n,no,_,_,_
m a a l i s k u u,m a a l i s k u u n,no,_,_,_
i n f r a s t r u k t u u r i,i n f r a s t r u k t u u r i n,no,_,_,_
k u u m o i t u s,k u u m o i t u k s e n,no,_,_,_
o i k e e l l i s u u s,o i k e e l l i s u u d e n,no,_,_,_
p e r s i l j a,p e r s i l j a n,no,_,_,_
a j a u t u m i n e n,a j a u t u m i s e n,no,_,_,_
i n d o n e s i a,i n d o n e s i a n,no,_,_,_
k o h t u,k o h d u n,yes,qualitative,t,direct
s t a b i l i t e e t t i,s t a b i l i t e e t i n,yes,quantitative,t,direct
p u m m i,p u m m i n,no,_,_,_
r u h t i n a s,r u h t i n a a n,no,_,_,_
i t s e m ä ä r ä ä m i s o i k e u s,i t s e m ä ä r ä ä m i s o i k e u d e n,no,_,_,_
